activity_id,parent_id,area_id,parent_name,name,position
1,13,35,Memory,Episodic Memory,1
267,13,35,Memory,Episodic Memory,1
267,52,53,Executive Functions,Working M.,2
267,14,15,Attention,Selective Attention,3
268,52,53,Executive Functions,Working M.,1
268,52,60,Executive Functions,Reasoning,2
268,52,59,Executive Functions,Planning,3
268,52,57,Executive Functions,Flexibility,4
275,52,60,Executive Functions,Reasoning,1
275,14,16,Attention,Sustained Attention,2
275,13,34,Memory,Semantic Memory,3
275,13,35,Memory,Episodic Memory,4
275,5,70,Instrumental ADL's,Cooking and Cleaning,5
276,13,35,Memory,Episodic Memory,1
276,14,23,Attention,Hemineglect,2
277,14,15,Attention,Selective Attention,1
277,42,43,Gnosis,Visual Gnosis,2
277,14,16,Attention,Sustained Attention,3
278,24,29,Language,Vocabulary,1
278,52,53,Executive Functions,Working M.,2
279,24,29,Language,Vocabulary,2
279,52,53,Executive Functions,Working M.,3
279,14,23,Attention,Hemineglect,3
280,13,35,Memory,Episodic Memory,1
280,14,23,Attention,Hemineglect,2
281,13,35,Memory,Episodic Memory,1
281,52,53,Executive Functions,Working M.,2
282,14,15,Attention,Selective Attention,1
282,42,43,Gnosis,Visual Gnosis,2
282,14,16,Attention,Sustained Attention,3
283,49,51,Visuospatial Skills,Spatial Visualization,1
283,52,59,Executive Functions,Planning,2
284,13,35,Memory,Episodic Memory,1
284,52,53,Executive Functions,Working M.,2
285,14,15,Attention,Selective Attention,1
285,14,16,Attention,Sustained Attention,2
285,14,23,Attention,Hemineglect,3
285,52,59,Executive Functions,Planning,4
286,14,16,Attention,Sustained Attention,1
286,52,55,Executive Functions,Inhibition,2
286,14,21,Attention,Processing Speed,3
287,14,21,Attention,Processing Speed,1
287,14,16,Attention,Sustained Attention,2
288,49,50,Visuospatial Skills,Spatial Relation,1
288,14,23,Attention,Hemineglect,2
289,13,35,Memory,Episodic Memory,1
289,52,55,Executive Functions,Inhibition,2
290,37,41,Praxis,Visoconstructive Praxis,1
290,42,43,Gnosis,Visual Gnosis,2
290,49,50,Visuospatial Skills,Spatial Relation,3
290,52,59,Executive Functions,Planning,4
291,42,43,Gnosis,Visual Gnosis,1
291,14,15,Attention,Selective Attention,2
292,52,57,Executive Functions,Flexibility,1
292,52,59,Executive Functions,Planning,2
292,14,15,Attention,Selective Attention,3
292,14,23,Attention,Hemineglect,4
292,14,22,Attention,Alternating Attention,5
293,49,50,Visuospatial Skills,Spatial Relation,1
293,52,60,Executive Functions,Reasoning,2
293,14,23,Attention,Hemineglect,3
293,52,53,Executive Functions,Working M.,4
294,14,15,Attention,Selective Attention,1
295,13,35,Memory,Episodic Memory,1
295,52,53,Executive Functions,Working M.,2
295,14,15,Attention,Selective Attention,3
296,13,35,Memory,Episodic Memory,1
296,52,53,Executive Functions,Working M.,2
296,14,15,Attention,Selective Attention,3
297,52,59,Executive Functions,Planning,1
297,14,21,Attention,Processing Speed,2
297,14,16,Attention,Sustained Attention,4
310,52,61,Executive Functions,Decision Making,1
310,52,59,Executive Functions,Planning,2
310,42,48,Gnosis,Body Schema,3
310,8,62,Basic ADL's,Dressing,4
346,52,57,Executive Functions,Flexibility,1
346,52,59,Executive Functions,Planning,2
346,14,23,Attention,Hemineglect,3
346,14,15,Attention,Selective Attention,4
346,14,22,Attention,Alternating Attention,5
350,14,15,Attention,Selective Attention,1
350,14,16,Attention,Sustained Attention,2
350,49,50,Visuospatial Skills,Spatial Relation,3
351,52,60,Executive Functions,Reasoning,1
352,14,15,Attention,Selective Attention,1
353,14,16,Attention,Sustained Attention,1
354,42,43,Gnosis,Visual Gnosis,1
355,24,31,Language,Discrimination,1
356,17,18,Orientation,Place Orientation,1
357,14,15,Attention,Selective Attention,1
358,24,31,Language,Discrimination,1
359,24,31,Language,Discrimination,1
360,11,12,Cognitive Functions,Social Cognition,1
360,24,29,Language,Vocabulary,2
361,11,12,Cognitive Functions,Social Cognition,1
362,14,21,Attention,Processing Speed,1
362,14,15,Attention,Selective Attention,2
363,14,15,Attention,Selective Attention,1
379,24,28,Language,Naming,1
380,14,21,Attention,Processing Speed,1
380,14,16,Attention,Sustained Attention,2
380,52,53,Executive Functions,Working M.,3
380,52,59,Executive Functions,Planning,4
381,24,27,Language,Expression,1
381,52,53,Executive Functions,Working M.,2
381,52,57,Executive Functions,Flexibility,3
381,52,59,Executive Functions,Planning,4
381,24,25,Language,Comprehension,5
382,14,21,Attention,Processing Speed,1
382,52,60,Executive Functions,Reasoning,2
383,24,25,Language,Comprehension,1
384,52,60,Executive Functions,Reasoning,1
385,14,21,Attention,Processing Speed,1
385,42,43,Gnosis,Visual Gnosis,2
388,11,12,Cognitive Functions,Social Cognition,1
389,17,18,Orientation,Place Orientation,1
389,5,72,Instrumental ADL's,Shopping,2
390,24,25,Language,Comprehension,1
391,52,59,Executive Functions,Planning,1
391,52,60,Executive Functions,Reasoning,2
391,24,25,Language,Comprehension,3
392,42,43,Gnosis,Visual Gnosis,1
393,24,25,Language,Comprehension,1
473,17,19,Orientation,Time Orientation,1
474,49,50,Visuospatial Skills,Spatial Relation,1
474,24,25,Language,Comprehension,2
475,49,50,Visuospatial Skills,Spatial Relation,1
476,42,43,Gnosis,Visual Gnosis,1
477,24,29,Language,Vocabulary,1
478,42,43,Gnosis,Visual Gnosis,1
480,42,48,Gnosis,Body Schema,1
481,42,43,Gnosis,Visual Gnosis,1
482,13,34,Memory,Semantic Memory,1
482,24,33,Language,Writing,2
483,52,60,Executive Functions,Reasoning,1
483,13,34,Memory,Semantic Memory,2
484,24,29,Language,Vocabulary,1
485,52,59,Executive Functions,Planning,1
485,52,60,Executive Functions,Reasoning,2
487,52,60,Executive Functions,Reasoning,1
487,14,16,Attention,Sustained Attention,2
487,13,34,Memory,Semantic Memory,3
487,13,35,Memory,Episodic Memory,4
487,5,70,Instrumental ADL's,Cooking and Cleaning,5
488,42,43,Gnosis,Visual Gnosis,1
492,42,43,Gnosis,Visual Gnosis,1
492,13,34,Memory,Semantic Memory,2
